empID,A,Last Name,First Name,Department,Office,timestamp,type,prox-id,floor,zone
earpa,60,Arpa,Emile,Facilities,1070,2016-05-31 02:26:40,fixed-prox,earpa001,1,6
vawelon,61,Awelon,Varro,Facilities,1070,2016-05-31 02:31:41,fixed-prox,vawelon001,1,6
earpa,60,Arpa,Emile,Facilities,1070,2016-05-31 05:57:40,fixed-prox,earpa001,1,6
vawelon,61,Awelon,Varro,Facilities,1070,2016-05-31 05:57:41,fixed-prox,vawelon001,1,6
jsanjorge,57,Sanjorge Jr.,Sten,Executive,3000,2016-05-31 07:00:50,fixed-prox,jsanjorge001,1,4
ibarranco,50,Barranco,Ingrid,Executive,3120,2016-05-31 07:00:51,fixed-prox,ibarranco001,1,4
jsanjorge,57,Sanjorge Jr.,Sten,Executive,3000,2016-05-31 07:01:32,fixed-prox,jsanjorge001,2,4
ibarranco,50,Barranco,Ingrid,Executive,3120,2016-05-31 07:01:32,fixed-prox,ibarranco001,2,4
jsanjorge,57,Sanjorge Jr.,Sten,Executive,3000,2016-05-31 07:02:03,fixed-prox,jsanjorge001,3,4
ibarranco,50,Barranco,Ingrid,Executive,3120,2016-05-31 07:02:03,fixed-prox,ibarranco001,3,4
jsanjorge,57,Sanjorge Jr.,Sten,Executive,3000,2016-05-31 07:02:28,fixed-prox,jsanjorge001,3,6
knielson,35,Nielson,Karole,Engineering,2550,2016-05-31 07:15:50,fixed-prox,knielson001,1,4
knielson,35,Nielson,Karole,Engineering,2550,2016-05-31 07:16:32,fixed-prox,knielson001,2,4
iborrasca,20,Borrasca,Isande,Engineering,2355,2016-05-31 07:17:38,fixed-prox,iborrasca001,1,4
ldedos,26,Dedos,Lidelse,Engineering,2100,2016-05-31 07:17:38,fixed-prox,ldedos001,1,4
iborrasca,20,Borrasca,Isande,Engineering,2355,2016-05-31 07:18:19,fixed-prox,iborrasca001,2,4
ldedos,26,Dedos,Lidelse,Engineering,2100,2016-05-31 07:18:19,fixed-prox,ldedos001,2,4
ldedos,26,Dedos,Lidelse,Engineering,2100,2016-05-31 07:18:37,fixed-prox,ldedos001,2,2
iborrasca,20,Borrasca,Isande,Engineering,2355,2016-05-31 07:18:43,fixed-prox,iborrasca001,2,6
sparrino,41,Parrino,Silvio,Engineering,2125,2016-05-31 07:24:35,fixed-prox,sparrino001,1,4
sparrino,41,Parrino,Silvio,Engineering,2125,2016-05-31 07:25:16,fixed-prox,sparrino001,2,4
monda,38,Onda,Marin,Engineering,2400,2016-05-31 07:28:35,fixed-prox,monda001,1,4
monda,38,Onda,Marin,Engineering,2400,2016-05-31 07:29:16,fixed-prox,monda001,2,4
monda,38,Onda,Marin,Engineering,2400,2016-05-31 07:29:35,fixed-prox,monda001,2,2
lorosco,55,Orosco,Lenna,Executive,3320,2016-05-31 07:31:35,fixed-prox,lorosco001,1,4
ostrum,58,Strum,Orhan,Executive,3200,2016-05-31 07:31:35,fixed-prox,ostrum001,1,4
lorosco,55,Orosco,Lenna,Executive,3320,2016-05-31 07:32:06,fixed-prox,lorosco001,2,4
ostrum,58,Strum,Orhan,Executive,3200,2016-05-31 07:32:06,fixed-prox,ostrum001,2,4
epavone,13,Pavone,Emma,Administration,3150,2016-05-31 07:32:20,fixed-prox,epavone001,1,4
lorosco,55,Orosco,Lenna,Executive,3320,2016-05-31 07:32:37,fixed-prox,lorosco001,3,4
ostrum,58,Strum,Orhan,Executive,3200,2016-05-31 07:32:37,fixed-prox,ostrum001,3,4
epavone,13,Pavone,Emma,Administration,3150,2016-05-31 07:33:01,fixed-prox,epavone001,2,4
ostrum,58,Strum,Orhan,Executive,3200,2016-05-31 07:33:02,fixed-prox,ostrum001,3,6
ostrum,58,Strum,Orhan,Executive,3200,2016-05-31 07:33:10,fixed-prox,ostrum001,3,3
epavone,13,Pavone,Emma,Administration,3150,2016-05-31 07:33:32,fixed-prox,epavone001,3,4
epavone,13,Pavone,Emma,Administration,3150,2016-05-31 07:33:46,fixed-prox,epavone001,3,2
vawelon,61,Awelon,Varro,Facilities,1070,2016-05-31 07:35:36,fixed-prox,vawelon001,1,4
vawelon,61,Awelon,Varro,Facilities,1070,2016-05-31 07:36:17,fixed-prox,vawelon001,2,4
gcazar,25,Cazar,Gustav,Engineering,2620,2016-05-31 07:37:10,fixed-prox,gcazar001,1,4
gcazar,25,Cazar,Gustav,Engineering,2620,2016-05-31 07:37:51,fixed-prox,gcazar001,2,4
thagan,31,Hagan,Tawana,Engineering,2515,2016-05-31 07:38:37,fixed-prox,thagan001,1,4
thagan,31,Hagan,Tawana,Engineering,2515,2016-05-31 07:39:18,fixed-prox,thagan001,2,4
ncalixto,94,Calixto,Nils,Information Technology,2155,2016-05-31 07:39:36,fixed-prox,ncalixto001,1,4
thagan,31,Hagan,Tawana,Engineering,2515,2016-05-31 07:39:40,fixed-prox,thagan001,2,2
ncalixto,94,Calixto,Nils,Information Technology,2155,2016-05-31 07:40:17,fixed-prox,ncalixto001,2,4
acalzas,22,Calzas,Axel,Engineering,2430,2016-05-31 07:40:36,fixed-prox,acalzas001,1,4
acalzas,22,Calzas,Axel,Engineering,2430,2016-05-31 07:41:17,fixed-prox,acalzas001,2,4
acalzas,22,Calzas,Axel,Engineering,2430,2016-05-31 07:41:36,fixed-prox,acalzas001,2,2
hmies,72,Mies,Henk,Facilities,2250,2016-05-31 07:44:35,fixed-prox,hmies001,1,4
hmies,11,Mies Haber,Ruscella,Administration,2110,2016-05-31 07:44:35,fixed-prox,hmies001,1,4
cmorluniau,75,Morluniau,Cecilia,Facilities,2310,2016-05-31 07:44:35,fixed-prox,cmorluniau001,1,4
hmies,72,Mies,Henk,Facilities,2250,2016-05-31 07:45:16,fixed-prox,hmies001,2,4
hmies,11,Mies Haber,Ruscella,Administration,2110,2016-05-31 07:45:16,fixed-prox,hmies001,2,4
cmorluniau,75,Morluniau,Cecilia,Facilities,2310,2016-05-31 07:45:16,fixed-prox,cmorluniau001,2,4
cmorluniau,75,Morluniau,Cecilia,Facilities,2310,2016-05-31 07:45:36,fixed-prox,cmorluniau001,2,6
lalcazar,87,Alcazar,Lucas,Information Technology,2165,2016-05-31 07:45:37,fixed-prox,lalcazar001,1,4
hmies,72,Mies,Henk,Facilities,2250,2016-05-31 07:46:11,fixed-prox,hmies001,2,6
hmies,11,Mies Haber,Ruscella,Administration,2110,2016-05-31 07:46:11,fixed-prox,hmies001,2,6
vawelon,61,Awelon,Varro,Facilities,1070,2016-05-31 07:46:15,fixed-prox,vawelon001,2,4
lalcazar,87,Alcazar,Lucas,Information Technology,2165,2016-05-31 07:46:18,fixed-prox,lalcazar001,2,4
fmata,33,Mata,Felipe,Engineering,2120,2016-05-31 07:46:35,fixed-prox,fmata001,1,4
hblue,51,Blue,Hobert,Executive,3350,2016-05-31 07:46:35,fixed-prox,hblue001,1,4
vawelon,61,Awelon,Varro,Facilities,1070,2016-05-31 07:46:57,fixed-prox,vawelon001,1,4
fmata,33,Mata,Felipe,Engineering,2120,2016-05-31 07:47:16,fixed-prox,fmata001,2,4
hblue,51,Blue,Hobert,Executive,3350,2016-05-31 07:47:16,fixed-prox,hblue001,2,4
hblue,51,Blue,Hobert,Executive,3350,2016-05-31 07:47:47,fixed-prox,hblue001,3,4
hblue,51,Blue,Hobert,Executive,3350,2016-05-31 07:48:03,fixed-prox,hblue001,3,2
jholly,7,Holly,Jama,Administration,2410,2016-05-31 07:51:37,fixed-prox,jholly001,1,4
jholly,7,Holly,Jama,Administration,2410,2016-05-31 07:52:18,fixed-prox,jholly001,2,4
jholly,7,Holly,Jama,Administration,2410,2016-05-31 07:52:37,fixed-prox,jholly001,2,2
jcastellanos,107,Castellanos,Janene,Security,2170,2016-05-31 07:54:51,fixed-prox,jcastellanos001,1,4
slea,114,Lea,Sherell,Security,2170,2016-05-31 07:54:53,fixed-prox,slea001,1,4
jcastellanos,107,Castellanos,Janene,Security,2170,2016-05-31 07:55:32,fixed-prox,jcastellanos001,2,4
slea,114,Lea,Sherell,Security,2170,2016-05-31 07:55:32,fixed-prox,slea001,2,4
jcastellanos,107,Castellanos,Janene,Security,2170,2016-05-31 07:56:25,fixed-prox,jcastellanos001,2,3
slea,114,Lea,Sherell,Security,2170,2016-05-31 07:56:25,fixed-prox,slea001,2,3
aribera,14,Ribera,Anda,Administration,3110,2016-05-31 08:01:07,fixed-prox,aribera001,1,4
tseifert,15,Seifert,Tifany,Administration,3515,2016-05-31 08:01:07,fixed-prox,tseifert001,1,4
aribera,14,Ribera,Anda,Administration,3110,2016-05-31 08:01:38,fixed-prox,aribera001,2,4
tseifert,15,Seifert,Tifany,Administration,3515,2016-05-31 08:01:38,fixed-prox,tseifert001,2,4
emintz,54,Mintz,Emil,Executive,3220,2016-05-31 08:01:52,fixed-prox,emintz001,1,4
aribera,14,Ribera,Anda,Administration,3110,2016-05-31 08:02:09,fixed-prox,aribera001,3,4
tseifert,15,Seifert,Tifany,Administration,3515,2016-05-31 08:02:09,fixed-prox,tseifert001,3,4
emintz,54,Mintz,Emil,Executive,3220,2016-05-31 08:02:33,fixed-prox,emintz001,2,4
emintz,54,Mintz,Emil,Executive,3220,2016-05-31 08:03:04,fixed-prox,emintz001,3,4
emintz,54,Mintz,Emil,Executive,3220,2016-05-31 08:03:23,fixed-prox,emintz001,3,3
tseifert,15,Seifert,Tifany,Administration,3515,2016-05-31 08:30:16,fixed-prox,tseifert001,3,6
tseifert,15,Seifert,Tifany,Administration,3515,2016-05-31 08:30:23,fixed-prox,tseifert001,3,3
eklinger,8,Klinger,Evangeline,Administration,3360,2016-05-31 08:31:38,fixed-prox,eklinger001,1,4
eklinger,8,Klinger,Evangeline,Administration,3360,2016-05-31 08:32:19,fixed-prox,eklinger001,2,4
eklinger,8,Klinger,Evangeline,Administration,3360,2016-05-31 08:32:50,fixed-prox,eklinger001,3,4
eklinger,8,Klinger,Evangeline,Administration,3360,2016-05-31 08:33:10,fixed-prox,eklinger001,3,2
tseifert,15,Seifert,Tifany,Administration,3515,2016-05-31 08:47:14,fixed-prox,tseifert001,3,6
monda,38,Onda,Marin,Engineering,2400,2016-05-31 08:56:04,fixed-prox,monda001,2,2
thagan,31,Hagan,Tawana,Engineering,2515,2016-05-31 08:56:04,fixed-prox,thagan001,2,2
ldedos,26,Dedos,Lidelse,Engineering,2100,2016-05-31 08:58:28,fixed-prox,ldedos001,2,2
acalzas,22,Calzas,Axel,Engineering,2430,2016-05-31 08:59:04,fixed-prox,acalzas001,2,2
cmorluniau,75,Morluniau,Cecilia,Facilities,2310,2016-05-31 08:59:15,fixed-prox,cmorluniau001,2,6
ibarranco,50,Barranco,Ingrid,Executive,3120,2016-05-31 09:00:06,fixed-prox,ibarranco001,3,6
iborrasca,20,Borrasca,Isande,Engineering,2355,2016-05-31 09:10:15,fixed-prox,iborrasca001,2,6
hmies,72,Mies,Henk,Facilities,2250,2016-05-31 09:13:15,fixed-prox,hmies001,2,6
hmies,11,Mies Haber,Ruscella,Administration,2110,2016-05-31 09:13:15,fixed-prox,hmies001,2,6
jcastellanos,107,Castellanos,Janene,Security,2170,2016-05-31 09:38:25,fixed-prox,jcastellanos001,2,3
slea,114,Lea,Sherell,Security,2170,2016-05-31 09:38:25,fixed-prox,slea001,2,3
monda,38,Onda,Marin,Engineering,2400,2016-05-31 09:54:22,fixed-prox,monda001,2,6
lorosco,55,Orosco,Lenna,Executive,3320,2016-05-31 09:55:11,fixed-prox,lorosco001,3,2
monda,38,Onda,Marin,Engineering,2400,2016-05-31 10:04:06,fixed-prox,monda001,2,6
monda,38,Onda,Marin,Engineering,2400,2016-05-31 10:04:39,fixed-prox,monda001,2,2
ostrum,58,Strum,Orhan,Executive,3200,2016-05-31 10:08:08,fixed-prox,ostrum001,3,6
ostrum,58,Strum,Orhan,Executive,3200,2016-05-31 10:09:20,fixed-prox,ostrum001,3,4
ostrum,58,Strum,Orhan,Executive,3200,2016-05-31 10:10:01,fixed-prox,ostrum001,2,4
ibarranco,50,Barranco,Ingrid,Executive,3120,2016-05-31 10:10:17,fixed-prox,ibarranco001,3,2
ldedos,26,Dedos,Lidelse,Engineering,2100,2016-05-31 10:10:37,fixed-prox,ldedos001,2,2
thagan,31,Hagan,Tawana,Engineering,2515,2016-05-31 10:13:37,fixed-prox,thagan001,2,2
acalzas,22,Calzas,Axel,Engineering,2430,2016-05-31 10:14:37,fixed-prox,acalzas001,2,2
jsanjorge,57,Sanjorge Jr.,Sten,Executive,3000,2016-05-31 10:15:17,fixed-prox,jsanjorge001,3,2
hmies,72,Mies,Henk,Facilities,2250,2016-05-31 10:19:08,fixed-prox,hmies001,2,6
hmies,11,Mies Haber,Ruscella,Administration,2110,2016-05-31 10:19:08,fixed-prox,hmies001,2,6
cmorluniau,75,Morluniau,Cecilia,Facilities,2310,2016-05-31 10:21:08,fixed-prox,cmorluniau001,2,6
iborrasca,20,Borrasca,Isande,Engineering,2355,2016-05-31 10:24:06,fixed-prox,iborrasca001,2,6
acalzas,22,Calzas,Axel,Engineering,2430,2016-05-31 10:26:30,fixed-prox,acalzas001,2,6
knielson,35,Nielson,Karole,Engineering,2550,2016-05-31 10:26:30,fixed-prox,knielson001,2,6
ldedos,26,Dedos,Lidelse,Engineering,2100,2016-05-31 10:28:51,fixed-prox,ldedos001,2,6
gcazar,25,Cazar,Gustav,Engineering,2620,2016-05-31 10:29:31,fixed-prox,gcazar001,2,6
ibarranco,50,Barranco,Ingrid,Executive,3120,2016-05-31 10:30:27,fixed-prox,ibarranco001,3,4
jsanjorge,57,Sanjorge Jr.,Sten,Executive,3000,2016-05-31 10:30:34,fixed-prox,jsanjorge001,3,3
ibarranco,50,Barranco,Ingrid,Executive,3120,2016-05-31 10:31:09,fixed-prox,ibarranco001,2,4
thagan,31,Hagan,Tawana,Engineering,2515,2016-05-31 10:31:36,fixed-prox,thagan001,2,6
ibarranco,50,Barranco,Ingrid,Executive,3120,2016-05-31 10:31:40,fixed-prox,ibarranco001,1,4
lalcazar,87,Alcazar,Lucas,Information Technology,2165,2016-05-31 10:32:24,fixed-prox,lalcazar001,2,6
sparrino,41,Parrino,Silvio,Engineering,2125,2016-05-31 10:32:31,fixed-prox,sparrino001,2,6
ncalixto,94,Calixto,Nils,Information Technology,2155,2016-05-31 10:34:21,fixed-prox,ncalixto001,2,6
fmata,33,Mata,Felipe,Engineering,2120,2016-05-31 10:34:34,fixed-prox,fmata001,2,6
monda,38,Onda,Marin,Engineering,2400,2016-05-31 10:35:21,fixed-prox,monda001,2,6
emintz,54,Mintz,Emil,Executive,3220,2016-05-31 11:15:27,fixed-prox,emintz001,3,2
cmorluniau,75,Morluniau,Cecilia,Facilities,2310,2016-05-31 11:21:01,fixed-prox,cmorluniau001,2,6
ldedos,26,Dedos,Lidelse,Engineering,2100,2016-05-31 11:23:44,fixed-prox,ldedos001,2,2
jholly,7,Holly,Jama,Administration,2410,2016-05-31 11:25:31,fixed-prox,jholly001,2,4
jholly,7,Holly,Jama,Administration,2410,2016-05-31 11:26:13,fixed-prox,jholly001,1,4
emintz,54,Mintz,Emil,Executive,3220,2016-05-31 11:30:39,fixed-prox,emintz001,3,3
